New Tree Number,Tree Number,Site,Seed Zone,Date Measured,Tree Height (cm),Tree Diameter (mm),Health,Comment,Year Measured,Elk Browse
269,81,Tomanamus,OR,7/18/2024,126,14.9,Alive,,2024,None
270,82,Tomanamus,OR,7/18/2024,97,10.8,Alive,Browsed Middle,2024,None
271,83,Tomanamus,OR,7/18/2024,81,11,Alive,,2024,None
272,84,Tomanamus,OR,7/18/2024,100,8.5,Alive,,2024,None
273,85,Tomanamus,OR,7/18/2024,49,3.6,Alive,,2024,None
274,86,Tomanamus,OR,7/18/2024,96,13.6,Alive,Yellowing,2024,None
275,87,Tomanamus,OR,7/18/2024,88,11.7,Alive,,2024,None
276,88,Tomanamus,OR,7/18/2024,63,7.6,Alive,,2024,None
277,89,Tomanamus,OR,7/18/2024,135,9.2,Alive,,2024,None
278,90,Tomanamus,OR,7/18/2024,33,11.1,Alive,Cut in half,2024,None
279,91,Tomanamus,OR,7/18/2024,132,13.3,Alive,,2024,None
280,92,Tomanamus,OR,7/18/2024,136,13.4,Alive,,2024,None
